Question_ID,Fine-tuned_Correct,Base_Correct,No_CORA_Correct,No_DARA_Correct,No_Verification_Correct,Claude_Correct,Deepseek_Correct,Gpt_Correct,Mistral_Correct,Qwen_Correct
val_90,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_92,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
val_94,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_95,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
val_97,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
val_98,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_100,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
val_102,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_105,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_106,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_107,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
val_111,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
val_112,Yes,No,Yes,No,No,No,No,No,Yes,No
val_113,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_114,Yes,No,No,No,No,No,No,Yes,No,No
val_117,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_118,No,No,Yes,No,No,No,No,No,No,No
val_119,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_120,Yes,No,Yes,No,No,No,No,No,Yes,No
val_122,No,No,Yes,No,No,No,No,No,No,No
val_125,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
val_127,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_130,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_134,No,No,Yes,No,No,No,No,No,No,No
val_136,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes
val_137,No,No,No,No,No,Yes,Yes,Yes,No,Yes
val_139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_140,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_148,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
val_151,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_152,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
val_159,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_162,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
val_164,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_165,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_167,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_171,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_173,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_174,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_175,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_181,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
val_182,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_183,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
val_184,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_189,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_191,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
val_192,No,No,Yes,No,No,Yes,Yes,No,No,No
val_195,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_196,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
val_202,No,No,No,No,No,No,No,No,No,No
val_205,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_206,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_207,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_208,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
test_13,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
test_34,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_53,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
test_147,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes
test_203,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
val_28,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_30,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
val_54,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_68,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
val_78,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_110,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
val_142,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
val_143,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_153,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ACCURACY,0.8238,0.5762,0.4619,0.7667,0.7095,0.8619,0.8714,0.8095,0.6429,0.7190
